ID,頭文字,品目名,読み,類似語,出し方（一覧）,出し方（詳細）,出し方のポイント,URL1
981,け,剣山,けんざん,,小物金属,,厚紙等に包み「品名」を表示して出してください。,
939,け,けん玉,けんだま,,普通ごみ,,,
983,け,剣道防具（小手・垂・すね当て）,けんどうぼうぐ（こて・たれ・すねあて）,剣道の防具 剣道の小手 剣道垂れ 剣道具 剣道道具 すね当て 脛あて,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
982,け,剣道防具（面・胴）,けんどうぼうぐ（めん・どう）,剣道の防具 剣道の面 剣道面 剣道具 剣道道具,粗大ごみ,,,
987,け,顕微鏡(金属製),けんびきょう（きんぞくせい）,,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
986,け,顕微鏡(プラスチック製),けんびきょう（ぷらすちっくせい）,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
985,け,研磨剤(アルミチューブ),けんまざい（あるみちゅーぶ）,コンパウンド,普通ごみ,,中身を使いきってから出してください。/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
919,け,ゲートボール(球),げーとぼーる（たま）,,普通ごみ,,,
920,け,ゲートボールのスティック(金属製),げーとぼーるのすてぃっく（きんぞくせい）,ゲートボールスティック,粗大ごみ,小物金属,排出時に最長辺30cm未満のものは小物金属として出してください。,
921,け,ゲートボールのスティック(金属製以外),げーとぼーるのすてぃっく（きんぞくせいいがい）,ゲートボールスティック,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
931,け,ゲームカード（紙製）,げーむかーど（かみせい）,トレカ 野球カード トレーディングカード,ミックスペーパー,,,
930,け,ゲームカード（プラスチック製）,げーむかーど（ぷらすちっくせい）,トレカ 野球カード トレーディングカード,普通ごみ,,,
935,け,ゲーム機(家庭用ゲーム機),げーむきかていようげーむき,PS2 テレビゲーム プレイステーション2 PlayStation ps3 TVゲーム機 プレステ2 ファミコン ゲーム機器 ゲームボーイ PSP 携帯ゲーム機 任天堂64 ニンテンドー64 wiiU xbox ゲーム機本体 スーパーファミコン 任天堂DSi ニンテンドーDSi バーチャルボーイ テレビゲーム機 ドリームキャスト ポータブルゲーム プレーステーション GAMEBOY プレイステーション3 プレステ3 小型ゲーム機 ゲームキューブ ファミリーコンピュータ ポケットステーション ゲーム本体 電子ゲーム ワンダースワン セガサターン 3DS PS4 PSVITA ファミコンゲーム機 ゲームウォッチ pcエンジン ネオジオポケット ファミリーコンピューター メガドライブ ゲーム器 プレイステイション スーファミ テレビゲーム器 wiifit ポータブルゲーム機 Nintendo DS Playstation3 DSライト プレステーション2本体 Nintendo Switch Nintendo ２DS,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
932,け,ゲームコントローラー,げーむこんとろーらー,ゲーム機のコントローラー wiiフィットボード アーケードコントローラ ゲームのコントローラー アーケードスティック ゲーム用コントローラ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
933,け,ゲームソフト(ケース含む),げーむそふと,ゲームカセット ファミコンカセット ファミコンソフト ゲームケース ゲームのケース テレビゲームソフト DSソフトケース ソフトウェア プレイステーションソフト DSライト ゲームソフトケース ゲームソフトケース,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
934,け,ゲームパッド,げーむぱっど,ジョイパッド,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
940,け,下駄箱,げたばこ,シューズボックス 靴の棚 靴棚 シューズラック げた箱 靴入れ 靴ラック シューズ入れ 組み立て下駄箱 靴いれ 靴おき 靴置き スチール製下駄箱,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
990,け,弦,げん,ギターの弦 ギター弦 ガット チェロの弦,普通ごみ,,,
989,け,弦（金属製）,げん（きんぞくせい）,ギターの弦 ギター弦 ガット スチール弦 チェロの弦,小物金属,,,
988,け,原稿用紙,げんこうようし,,ミックスペーパー,,,
1108,こ,鯉のぼり,こいのぼり,,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1109,こ,鯉のぼりのポール,こいのぼりのぽーる,こいのぼりのポール,粗大ごみ,,概ね2mを超えるものは市では収集できません。（販売店等に相談してください。）,
1001,こ,コイル,こいる,,小物金属,,,
1002,こ,コイン（金属製）,こいん（きんぞくせい）,外貨 ゲームコイン 硬貨,小物金属,,,
1003,こ,コイン（金属製以外）,こいん（きんぞくせいいがい）,外貨 ゲームコイン 硬貨,普通ごみ,,,
1004,こ,コインケース（金属製）,こいんけーす（きんぞくせい）,,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1005,こ,コインケース（金属製以外）,こいんけーす（きんぞくせいいがい）,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1006,こ,コイントレイ(金属製以外),こいんとれい（きんぞくせいいがい）,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1007,こ,コイントレイ(金属製),こいんとれい（きんぞくせい）,金属トレイ 金属製トレイ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1125,こ,高圧ガスボンベ,こうあつがすぼんべ,プロパンガスボンベ 酸素ボンベ 潜水ボンベ 潜水用ボンベ ヘリウムガスボンベ ヘリウムガス LPガスボンベ 未使用ガスボンベ 高圧ボンベ ミドボン ソーダカートリッジ スキューバダイビングのボンベ ビールサーバー用ボンベ ヘリュムガス ヘリュムガスボンベ エアータンク ヘリウムガスのボンベ,その他,,市では収集できません。（販売店等に相談してください。）,
1126,こ,高圧洗浄機・スチーム掃除機,こうあつせんじょうき・すちーむそうじき,水圧洗浄機 高水圧洗浄機 ジェットクリーナー スチームクリーナー 蒸気掃除機 スチームモップ スチーム洗浄機,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1118,こ,耕運機(家庭用の小型のもの),こううんき（かていようのこがたのもの）,耕耘機,粗大ごみ,,,
1111,こ,工具箱(金属製),こうぐばこ（きんぞくせい）,工具入れ 道具箱 ツールケース ツールボックス 用具箱 工具BOX 工具ボックス,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1110,こ,工具箱(プラスチック製),こうぐばこ（ぷらすちっくせい）,工具入れ 道具箱 ツールケース ツールボックス 用具箱 工具BOX 工具ボックス,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1121,こ,香水の容器(びん),こうすいのようき（びん）,香水のびん 香水瓶 香水ビン 香水のビン 香水の瓶 香水びん 香水の空き瓶 オーデコロン 空きビン 香水容器 香水のケース 香水の入れ物,普通ごみ,,プラスチック製のふたはプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
1122,こ,香水の容器(プラスチック製),こうすいのようき（ぷらすちっくせい）,オーデコロン 香水容器 香水のケース 香水の入れ物,プラスチック製容器包装,,識別表示を確認して出してください。,
1119,こ,鉱石（30cm未満）,こうせき（30せんちみまん）,天然石 水晶 パワーストーン 雲母 鉱物 ダイアモンド ダイヤモンド 磨石 蝋石,粗大ごみ,,1回につき5個まで無料です。（粗大ごみの申し込みが必要です。）,
1120,こ,鉱石（30cm以上）,こうせき（30せんちいじょう）,天然石 水晶 パワーストーン 雲母 鉱物 ダイアモンド ダイヤモンド 磨石 蝋石,その他,,市では収集できません。（販売店等に相談してください。）,
1113,こ,紅茶(ティーバッグ),こうちゃ（てぃーばっく）,ティーパック ティーバック ハーブ 紅茶パック,普通ごみ,,,
1114,こ,紅茶(ティーバッグ)の個別包装紙,こうちゃ（てぃーばっく）のこべつほうそうし,ティーパック ティーバック 紅茶パック,ミックスペーパー,,,
1115,こ,紅茶(ティーバッグ)の箱(プラスチック製),こうちゃ（てぃーばっく）のはこ（ぷらすちっくせい）,ティーパック ティーバック 紅茶パック,プラスチック製容器包装,,識別表示を確認して出してください。,
1116,こ,紅茶(ティーバッグ)の箱(紙製),こうちゃ（てぃーばっく）のはこ（かみせい）,ティーパック ティーバック 紅茶パック,ミックスペーパー,,,
1117,こ,紅茶の缶,こうちゃのかん,金属容器 紅茶かん,空き缶・ペットボトル,,,
1128,こ,高度計(金属製),こうどけい（きんぞくせい）,,小物金属,,,
1127,こ,高度計(プラスチック製）,こうどけい（ぷらすちっくせい）,,普通ごみ,,,
1112,こ,広報誌,こうほうし,,ミックスペーパー,,,
1123,こ,香炉(金属製),こうろ（きんぞくせい）,卓上香炉,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1124,こ,香炉(陶器製),こうろ（とうきせい）,卓上香炉,普通ごみ,,,
1009,こ,コーキングガン,こーきんぐがん,,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1010,こ,コーキング材容器(プラスチック製),こーきんぐざいようき（ぷらすちっくせい）,コーキング容器,プラスチック製容器包装,,識別表示を確認して出してください。（汚れのひどいものは普通ごみとして出してください。）,
1012,こ,コースター(金属製),こーすたー（きんぞくせい）,金属のコースター ステンレスコースター,小物金属,,,
1013,こ,コースター(金属製以外),こーすたー（きんぞくせいいがい）,ラバーコースター 布のコースター,普通ごみ,,,
1014,こ,コート,こーと,オーバーコート ロングコート 外套 ウールコート ムートンコート ピーコート トレンチコート ファーコート ダッフルコート 防水コート モッズコート ニットコート ナイロンコート,資源集団回収,,布類（古着・古布等）回収にご協力お願いします。（洗ってから出してください。）/資源集団回収で回収ができない場合は拠点回収（WEBで見る）を行っています。/上記での回収が難しい場合や汚れているもの、破けているもの、ぬれているものは普通ごみとして出してください。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1015,こ,コートスタンド（金属製）,こーとすたんど（きんぞくせい）,,粗大ごみ,,,
1016,こ,コートスタンド（金属製以外）,こーとすたんど（きんぞくせいいがい）,,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1017,こ,コードレス電話,こーどれすでんわ,コードレスホン,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1018,こ,コーナーガード,こーなーがーど,,普通ごみ,,,
1020,こ,コーヒーカプセル,こーひーかぷせる,ネスプレッソカップ カプセル式コーヒー,プラスチック製容器包装,,識別表示を確認して出してください。,
1021,こ,コーヒーがら,こーひーがら,コーヒーのかす,普通ごみ,,,
998,こ,(インスタント)コーヒーのびん,こーひーのびん（いんすたんと）,インスタントコーヒービン インスタントコーヒー容器 コーヒーの瓶 コーヒーのビン コーヒー空き瓶 コーヒ瓶 コーヒーの空き瓶 クリープ インスタントコーヒーのビン 空きビン コーヒーミルク コーヒーびん インスタントコーヒーの瓶 インスタントコーヒーの瓶の容器,空きびん,,空きびんは、袋に入れずに寝かせて空きびん入れに入れることが原則ですが、事情により空きびん入れのない場所では、透明・半透明の袋に入れて出してください。（散乱等のないよう安全には十分注意して出してください。）/金属製のふたは空き缶・ペットボトルとして、プラスチック製のふたはプラスチック製容器包装として出してください。,
1000,こ,(インスタント)コーヒーのびんの内フタ,こーひーのびんのうちふた（いんすたんと）,インスタントコーヒービン インスタントコーヒー容器 コーヒーの瓶 コーヒーのビン クリープ インスタントコーヒーのビン ビンキャップ コーヒーミルク コーヒーびん,ミックスペーパー,,汚れがひどい場合には普通ごみとして出してください。,
999,こ,(インスタント)コーヒーのびんのキャップ,こーひーのびんのきゃっぷ（いんすたんと）,インスタントコーヒービン インスタントコーヒー容器 コーヒーの瓶 コーヒーのビン クリープ インスタントコーヒーのビン ビンキャップ コーヒーミルク コーヒーびん インスタントコーヒーの蓋,プラスチック製容器包装,,識別表示を確認して出してください。,
1022,こ,コーヒーフィルター,こーひーふぃるたー,コーヒーのろか紙 コーヒーフイルター ろ紙 コーヒーの紙パック ドリップフィルター ペーパーフィルター ドリップペーパー,普通ごみ,,未使用のものはミックスペーパーとして出してください。,
1023,こ,コーヒーミル(金属製）,こーひーみる（きんぞくせい）,珈琲ミル,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1024,こ,コーヒーミル(金属製以外),こーひーみる（きんぞくせいいがい）,珈琲ミル,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1019,こ,コーヒー・ティーメーカー,こーひーめーかー（ぷらすちっくせい）,珈琲メーカー コーヒーマシン コーヒーメイカー エスプレッソメーカー コーヒーのポット コーヒメーカー エスプレッソましん バリスタ 全自動エスプレッソマシン コーヒーマシーン ティーメーカー コーヒーサイフォン コーヒーサーバー ティーメーカー,小物金属,粗大ごみ,ガラス製ポットは普通ごみとして出してください。/最長辺30cm以上のものは粗大ごみとして出してください。,
1151,こ,氷枕,こおりまくら,アイスマクラ アイス枕 冷却枕 氷まくら アイスまくら ゼリー状水枕,普通ごみ,,金属部分は小物金属として出してください。,
1162,こ,小型印刷機,こがたいんさつき,プリントごっこ ぷりんとごっこ プリントゴッコ,小物金属,粗大ごみ,最長辺30cm未満のものは小物金属として出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1145,こ,小型血糖測定器専用電極,こがたけっとうそくていきせんようでんきょく,グルテストセンサー,小物金属,,,
1100,こ,呼吸器官用薬(エアゾール缶),こきゅうきかんようくすりえあぞーるかん,キュバール 吸入スプレー アドエアー メプチンエアー スプレー吸入器 薬吸入器 喘息吸入器,空き缶・ペットボトル,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください）/中身が出せない場合は「中身入り」と張り紙をして小物金属で出してください。,
1129,こ,黒板（金属製）,こくばん（きんぞくせい）,ホワイトボード,粗大ごみ,小物金属,姿見・つい立（板状）・トタン板・波板・風呂ふた・コタツ板・額縁・ベニヤ板・すのこ・鉄板類・ホワイトボード（板のみ）・黒板（板のみ）・一斗缶（板状につぶしたもの）・つっぱり棚は、5枚を1個の粗大ごみとして出すことができます。/最長辺30cm未満のものは小物金属として出してください。,
1130,こ,黒板（金属製以外）,こくばん（きんぞくせいいがい）,ホワイトボード,粗大ごみ,普通ごみ,姿見・つい立（板状）・トタン板・波板・風呂ふた・コタツ板・額縁・ベニヤ板・すのこ・鉄板類・ホワイトボード（板のみ）・黒板（板のみ）・一斗缶（板状につぶしたもの）・つっぱり棚は、5枚を1個の粗大ごみとして出すことができます。/最長辺50cm未満のものは普通ごみとして出してください。,
1131,こ,黒板消し,こくばんけし,ホワイトボードイレイザー,普通ごみ,,,
1101,こ,固形化した廃油,こけいかしたはいゆ,ポイパック オイルパックリ 廃油処理箱 オイル処理箱 保革着色油 オイルパックン 使用済み油 オイル処理パック 固めるテンプル,普通ごみ,,,
1102,こ,固形燃料,こけいねんりょう,着火剤 着火燃料 固型燃料 着火材 非常用固形燃料 キャンプ固形燃料,普通ごみ,,,
1027,こ,こけし,こけし,コケシ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1029,こ,コサージュ（金属製）,こさーじゅ（きんぞくせい）,,小物金属,,,
1030,こ,コサージュ（金属製以外）,こさーじゅ（きんぞくせいいがい）,,普通ごみ,,,
1160,こ,濾し器(金属製),こしき（きんぞくせい）,ストレーナー ちゃこし 茶漉し 茶こし 裏ごし 裏漉し網 漉し網 急須の網 茶漉し網 急須のあみ 味噌漉し,小物金属,,最長辺30cm以上のものは粗大ごみとして出してください。,
1159,こ,濾し器(金属製以外),こしき（きんぞくせいいがい）,ストレーナー ちゃこし 茶漉し 茶こし 裏ごし 裏漉し網 漉し網 急須の網 茶漉し網 急須のあみ 味噌漉し,普通ごみ,,,
1132,こ,腰袋,こしぶくろ,,普通ごみ,,,
1031,こ,コゼー,こぜー,,普通ごみ,,,
1032,こ,こたつ,こたつ,炬燵 コタツ 電気ごたつ 赤外線こたつ 電気こたつ 電気コタツ こたつ台 コタツ台 こたつテーブル 椅子の脚 電気炬燵,粗大ごみ,,こたつとこたつ板は1セットとして出すことができます。,
1036,こ,こたつ椅子の足(金属製),こたついすのあし（きんぞくせい）,椅子の脚 椅子脚,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1033,こ,こたつ板,こたついた,,粗大ごみ,,こたつとこたつ板は1セットとして出すことができます。,
1038,こ,こたつカバー(こたつ布団のカバー),こたつかばー（こたつふとんのかばー）,こたつ布団の上掛け こたつふとん こたつぶとん コタツ布団 こたつ掛け布団 こたつがけ 炬燵布団 コタツカバー コタツ掛けぶとん,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1041,こ,こたつ敷き,こたつしき,こたつふとん こたつぶとん コタツ布団 炬燵布団 コタツ敷き布団 コタツマット コタツ敷き こたつ敷き布団 こたつじき こたつ中敷き こたつ敷物 炬燵敷き こたつ敷布団 コタツ敷布団 こたつ敷マット こたつ敷布団 こたつマット,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1037,こ,こたつ椅子の足(金属製以外),こたつてーぶる、いすのあし（きんぞくせいいがい）,テーブルの脚 テーブルの足 コタツの足 椅子の脚 椅子脚 テーブル足 こたつの足 コタツの脚 机の脚,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1034,こ,こたつテーブルの足(金属製),こたつてーぶるのあし（きんぞくせい）,テーブルの脚 テーブルの足 コタツの足 テーブル足 こたつの足 コタツの脚 机の脚,粗大ごみ,小物金属,こたつとこたつ板は1セットとして出すことができます。/最長辺30cm未満のものは小物金属として出してください。,
1035,こ,こたつテーブルの足(金属製以外),こたつてーぶるのあし（きんぞくせいいがい）,テーブルの脚 テーブルの足 コタツの足 テーブル足 こたつの足 コタツの脚 机の脚,普通ごみ,粗大ごみ,こたつとこたつ板は1セットとして出すことができます。/最長辺50cm以上のものは粗大ごみとして出してください。,
1039,こ,こたつヒーターユニット,こたつひーたーゆにっと,コタツヒーターユニット 電気こたつ こたつユニット 炬燵ヒーターユニット こたつのヒーター コタツのヒーター コタツ電熱器 コタツのヒーター 炬燵のヒーター こたつの電気ユニット,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1040,こ,こたつ布団,こたつぶとん,こたつふとん こたつぶとん コタツ布団 こたつ掛け布団 こたつがけ 炬燵布団 こたつ布団 こたつ掛布団 コタツ蒲団 コタツぶとん コタツふとん コタツフトン こたつ上掛け コタツ掛け布団 こたつのふとん こたつがけ布団 こたつかけ コタツかけ布団 こたつの布団 炬燵ふとん こたつ掛けふとん,粗大ごみ,普通ごみ,広がらないように折りたたみ、ひもで縛るなどして出してください。/排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1043,こ,コップ(金属製),こっぷ（きんぞくせい）,ステンレスコップ アルミのコップ 鉄カップ ステンレスカップ ステンレスマグ スチールカップ スチール製のカップ ステンレスマグカップ ステンレスのコップ アルミコップ 金属コップ,小物金属,,,
1044,こ,コップ立て(金属以外),こっぷたて（きんぞくいがい）,コップたて,普通ごみ,,,
1045,こ,コップ立て(金属製),こっぷたて（きんぞくせい）,コップたて,小物金属,,,
1042,こ,コップ(プラスチック製),こっぷ（ぷらすちっくせい）,プラスチックコップ プラスチックカップ プラスティックコップ プラコップ プラスティック製コップ プラカップ インサートカップ プラスチック製コップ アクリルコップ,普通ごみ,,,
1133,こ,骨壺,こつつぼ,,普通ごみ,粗大ごみ,中身を空にして出してください。/排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1046,こ,コテ,こて（きんぞくせい）,鏝 はんだこて はんだごて 半田ごて ガスコテ 電気コテ 電気こて 左官コテ ハンダコテ 電気ごて ハンダこて ハンダゴテ,小物金属,,,
1140,こ,子ども用いす（金属製）,こどもよういす（きんぞくせい）,子ども用椅子 ベビーチェアー ベビーイス 子ども椅子 子供いす 子供イス 子供用椅子 幼児椅子 子供用いす 子供用イス 幼児用椅子 子供椅子 こどもイス こども椅子 子どもいす 子供用パイプ椅子 小さい椅子 幼児用パイプ椅子 子供用パイプいす ミニ椅子 赤ちゃんイス 子どもイス バンボ まめいす 豆いす チャイルドチェア 豆椅子 乳児用いす 豆イス 幼児用いす こども用いす こどもいす 小児いす ベビー椅子 子供用プラスチック製いす 子供の椅子 子供のいす 子供チェア 子供用補助いす 子供パイプ椅子 子供椅子 乳児いす 赤ちゃん椅子 幼児いす ベビー用椅子 子ども用イス 子供のチェア 子供用金属製椅子 赤ちゃんの椅子 子供のイス キッズチェア ベビーいす 乳幼児椅子 キャンピングホルダー テーブル付き子供椅子 キッズチェアー 子供用の小さい椅子 ベビーソファ,粗大ごみ,,最長辺30cm未満のものは小物金属として出してください。,
1141,こ,子ども用いす（金属製以外）,こどもよういす（きんぞくせいいがい）,子ども用椅子 ベビーチェアー ベビーイス 子ども椅子 子供いす 子供イス 子供用椅子 幼児椅子 子供用いす 子供用イス 幼児用椅子 子供椅子 こどもイス こども椅子 子どもいす 子供用パイプ椅子 小さい椅子 幼児用パイプ椅子 子供用パイプいす ミニ椅子 赤ちゃんイス 子どもイス バンボ まめいす 豆いす チャイルドチェア 豆椅子 乳児用いす 豆イス 幼児用いす こども用いす こどもいす 小児いす ベビー椅子 子供用プラスチック製いす 子供の椅子 子供のいす 子供チェア 子供用補助いす 子供パイプ椅子 子供椅子 乳児いす 赤ちゃん椅子 幼児いす ベビー用椅子 子ども用イス 子供のチェア 子供用金属製椅子 赤ちゃんの椅子 子供のイス キッズチェア ベビーいす 乳幼児椅子 キャンピングホルダー テーブル付き子供椅子 キッズチェアー 子供用の小さい椅子 ベビーソファ,粗大ごみ,,最長辺50cm未満のものは普通ごみとして出してください。,
1144,こ,子ども用敷きマット,こどもようしきまっと,子供用敷マット,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1142,こ,子ども用車載シート,こどもようしゃさいしーと,ジュニアシート ベビーシート,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
1143,こ,子ども用布団,こどもようふとん,ベビー布団 子どもふとん 子供用布団 子供布団 子供の布団 寝具 子供ふとん 赤ちゃん布団 ジュニア布団 こども布団 ジュニア掛け布団 ベビーフトン ベビーふとん 寝具 子ども布団 子供用ふとん ベビー掛け布団 ベビーぶとん 赤ちゃんふとん ベービー布団 子供用敷布団 こども用マットレス ベビーしき布団 べびーふとん ベビー用布団 赤ちゃん用マットレス ベビー敷布団 あかちゃん布団 こどものふとん,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。（布団・マットレス（スプリング入りを除く）を5枚で1個の粗大ごみとして出すことができます。）,
1152,こ,粉チーズの容器,こなちーずのようき,パルメザンチーズ,ミックスペーパー,,識別表示を確認して出してください。/プラスチック製容器はプラスチック製容器包装として出してください。/汚れのひどいものは普通ごみとして出してください。,
1153,こ,粉ミルクの缶,こなみくるのかん,粉ミルク缶 金属容器 ミルクかん,空き缶・ペットボトル,,,
1047,こ,コネクター,こねくたー,,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1161,こ,琥珀,こはく,,普通ごみ,,指輪など金属がついているものは小物金属として出してください。,
1048,こ,コバエ捕獲殺虫剤,こばえほかくくじょざい,コバエ駆除剤,普通ごみ,,,
1049,こ,コピー用紙,こぴーようし,印刷用紙 コピー紙 再生紙 プリンタ用紙 連続フォーム用紙 プリント用紙 プリンター用紙 A4用紙 コピーペーパー OA用紙 コピーした紙 ワープロ用紙,ミックスペーパー,,,
1149,こ,独楽,こま,こま コマ,普通ごみ,,,
1150,こ,独楽(金属製),こま（きんぞくせい）,金属製こま,小物金属,,,
1098,こ,駒(将棋・チェス等)（金属製）,こま（しょうぎ・ちぇすとう）（きんぞくせい）,将棋の駒 将棋コマ,小物金属,,,
1099,こ,駒(将棋・チェス等)（金属製以外）,こま（しょうぎ・ちぇすとう）（きんぞくせいいがい）,将棋の駒 将棋コマ,普通ごみ,,,
1148,こ,小麦粉等の袋(紙製),こむぎことうのふくろ（かみせい）,片栗粉の袋 米粉,ミックスペーパー,,汚れや粉がひどいものは普通ごみとして出してください。,
1147,こ,小麦粘土,こむぎねんど,こむぎねんど,普通ごみ,,,
1154,こ,米びつ(金属製),こめびつ（きんぞくせい）,米櫃 コメビツ ライスストッカー ライスボックス 米ストッカー 米ひつ 米の入れ物 金属米びつ,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1155,こ,米びつ(金属製以外),こめびつ（きんぞくせいいがい）,米櫃 コメビツ ライスストッカー ライスボックス 米ストッカー 米ひつ 米の入れ物 プラスチック製米櫃,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1158,こ,米袋(麻製),こめぶくろ（あさせい）,こめ袋 米のふくろ 米の袋 麻ふくろ,普通ごみ,,,
1157,こ,米袋(紙製),こめぶくろ（かみせい）,紙の米袋 こめ袋 米のふくろ 米の袋,ミックスペーパー,,,
1156,こ,米袋(ビニール製),こめぶくろ（びにーるせい）,こめ袋 米のふくろ 米の袋,プラスチック製容器包装,,,
1072,こ,コルク製のふた,こるくせいのふた,コルクふた,普通ごみ,,,
1069,こ,コルク(栓),こるく（せん）,ワインのコルク シャンパンの栓 ワイン蓋 コルク栓 ワインの栓 ワインのキャップ ワインのふた 酒ビンの蓋 酒瓶のふた コルクせん ウイスキーコルク ワインコルク ワインキャップ,普通ごみ,,,
1070,こ,コルクボード,こるくぼーど,コルク板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1071,こ,コルクマット,こるくまっと,フローリングマット コルクタイル 床カーペット コルクカーペット,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1081,こ,コンクリートパネル,こんくりーとぱねる,コンパネ,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1082,こ,コンクリートブロック（10cm未満）,こんくりーとぶろっく（10せんちみまん）,ブロック塀 コンクリートの固まり セメントブロック ALC ブロック石 軽量気泡コンクリート コンクリート製ブロック壁 ブロック片 コンクリート塊 軽量ブロック 軽量コンクリートブロック 重量ブロック,普通ごみ,,ただし、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）,
1083,こ,コンクリートブロック（39cm以下）,こんくりーとぶろっく（39せんちいか）,ブロック塀 コンクリートの固まり セメントブロック ALC ブロック石 軽量気泡コンクリート コンクリート製ブロック壁 ブロック片 コンクリート塊 軽量ブロック 軽量コンクリートブロック 重量ブロック,粗大ごみ,,1回につき5個まで無料です。（粗大ごみの申し込みが必要です。）/なお、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）/40cm以上のものは販売店等に相談してください。,
